timestamp,kwh
2025-01-01 00:00,25.8
2025-01-01 01:00,28.2
2025-01-01 02:00,24.7
2025-01-01 03:00,22.1
2025-01-01 04:00,20.5
2025-01-01 05:00,19.3
2025-01-01 06:00,23.6
2025-01-01 07:00,32.4
2025-01-01 08:00,45.7
2025-01-01 09:00,52.3
2025-01-01 10:00,58.9
2025-01-01 11:00,55.2
2025-01-01 12:00,48.6
2025-01-01 13:00,46.8
2025-01-01 14:00,49.1
2025-01-01 15:00,51.4
2025-01-01 16:00,54.7
2025-01-01 17:00,57.9
2025-01-01 18:00,53.2
2025-01-01 19:00,44.8
2025-01-01 20:00,38.5
2025-01-01 21:00,34.2
2025-01-01 22:00,29.6
2025-01-01 23:00,26.4
2025-01-02 00:00,24.1
